Compound,mae,rmse,n
HARD,2.674668066422138,3.578409875597751,3847
MEDIUM,3.212872006193179,3.8973613182914617,2484
SOFT,3.366449959554376,3.85894408473426,169
WET,3.7195279372581354,3.7195279372581354,1
INTERMEDIATE,9.486057169661864,9.73981488138845,953
