RoundNumber,mae,rmse,n
20,0.9285222361271303,1.0753640774596902,1052
24,1.0763637260326442,2.9913412458472366,951
22,1.091385391121445,1.3864428897486902,852
18,1.4601399521869263,1.7044007962011434,1117
19,1.9189565816228578,2.1007604493489134,921
17,2.412607663311007,3.7914633212237914,906
23,2.5896129769339247,2.8031350285868024,701
21,2.8509287957168215,4.695282112976671,954
