Stint,mae,rmse,n
2.0,2.784250648691409,3.4827816043933026,3131
1.0,3.4002738149125884,4.1963430377478375,3173
3.0,3.4114781444197875,4.486470557876112,855
5.0,3.542804487208272,4.266587202840114,93
4.0,4.517428429370969,5.087225378337543,202
