Compound,mae,rmse,n
HARD,1.0589060377870123,1.7061900263614995,3847
SOFT,1.1973066436793929,1.5701366658731908,169
MEDIUM,1.4722654294713895,2.2808711516443174,2484
INTERMEDIATE,3.317266287081375,3.939444382255088,953
WET,15.279469756701317,15.279469756701317,1
