season,round,event,pit_loss_median,pit_loss_mean,pit_loss_std,pit_loss_p10,pit_loss_p90,n_events,base_lap_median
2024,0,Pre-Season Testing,30.156499999999994,29.807444444444442,1.9591325277882308,27.193500000000014,32.264300000000006,18,98.546
2024,1,Bahrain Grand Prix,24.857,24.625216216216213,1.6552959140477186,22.22559999999998,26.267600000000005,37,96.9115
2024,2,Saudi Arabian Grand Prix,20.19999999999999,20.19466666666666,1.027010386185717,19.371999999999993,21.015199999999993,3,94.144
2024,3,Australian Grand Prix,20.86099999999999,23.639062499999994,6.355996589137616,19.359199999999998,36.37600000000001,32,82.714
2024,4,Japanese Grand Prix,22.920000000000016,23.20246875,2.056576155376436,20.6072,25.743899999999993,32,97.4285
2024,5,Chinese Grand Prix,25.393,27.47047619047619,8.256790342615263,21.965000000000003,33.31,21,101.58099999999999
2024,6,Miami Grand Prix,25.733500000000006,26.950888888888894,9.060189777838954,20.4183,30.79520000000002,18,93.0735
2024,7,Emilia Romagna Grand Prix,27.95599999999996,28.060047619047616,0.9653729577831922,26.90900000000002,29.17500000000001,21,81.98349999999999
2024,8,Monaco Grand Prix,18.996999999999986,20.59299999999999,4.929040799181922,16.357,26.424999999999983,6,79.49
2024,9,Canadian Grand Prix,27.397499999999994,34.93803846153846,15.709615894682521,19.203999999999994,56.83800000000001,26,87.138
2024,10,Spanish Grand Prix,22.736000000000004,22.989694444444442,1.4024610984051142,21.499499999999998,24.87599999999999,36,80.734
2024,11,Austrian Grand Prix,21.272999999999996,22.04835897435898,2.951430567379502,20.02879999999999,24.080799999999993,39,71.15
2024,12,British Grand Prix,37.119,37.083717948717954,6.888956131102034,28.722200000000015,47.09160000000001,39,92.933
2024,13,Hungarian Grand Prix,20.471000000000004,20.538138888888895,1.1687449227459532,19.209000000000003,22.096000000000004,36,84.3935
2024,14,Belgian Grand Prix,19.601000000000013,19.38183333333334,1.5776736055810563,16.92790000000001,21.06160000000003,30,109.097
2024,15,Dutch Grand Prix,23.989500000000007,23.85018181818182,1.1090498136592013,22.35829999999998,25.131999999999984,22,76.321
2024,16,Italian Grand Prix,26.813500000000005,27.104576923076927,3.072187288211147,23.937500000000014,30.651500000000013,26,84.87049999999999
2024,17,Azerbaijan Grand Prix,22.917500000000004,23.072312500000002,2.523812056361045,20.481499999999983,25.089500000000015,16,108.9055
2024,18,Singapore Grand Prix,30.156499999999994,29.807444444444442,1.9591325277882308,27.193500000000014,32.264300000000006,18,98.546
2024,19,United States Grand Prix,21.87100000000001,22.16461111111111,1.5719154347441646,20.51789999999999,24.367000000000015,18,100.168
2024,20,Mexico City Grand Prix,23.99800000000002,24.662105263157894,3.1538354761347853,21.87020000000001,27.155199999999976,19,81.993
2024,21,São Paulo Grand Prix,50.096000000000004,46.11057142857142,9.22741968008288,35.412400000000005,52.64999999999999,7,84.6265
2024,22,Las Vegas Grand Prix,23.089,23.651314285714285,2.3190445518819724,21.32779999999999,26.6794,35,98.473
2024,23,Qatar Grand Prix,31.387,36.75642857142858,10.288227979218819,27.376400000000007,49.39440000000001,7,86.182
2024,24,Abu Dhabi Grand Prix,24.82249999999999,27.75745833333333,7.009902628978068,22.360999999999986,35.690400000000004,24,89.699
