Stint,mae,rmse,n
4.0,1.0858569117002512,1.373308489222287,202
2.0,1.191815553393546,2.094421409840654,3131
1.0,1.6865852344595358,2.4700201898640177,3173
3.0,1.8997476350962945,2.5246620046847967,855
5.0,1.9673241668231836,2.6191414349686566,93
