RoundNumber,mae,rmse,n
24,0.8946554124742432,1.5215215124391988,951
19,1.4719257142500621,1.7084631293558201,921
17,1.8896336583897175,2.6652771744088124,906
21,2.0399747821063903,3.5917495059093554,954
18,3.5823891988179377,3.87856717578639,1117
20,4.315288129181828,4.398644061041473,1052
22,5.856305212318656,5.960335436725083,852
23,6.091275270613925,6.197499783816303,701
